Subject,Trial,Condition,Agency
6,10,sham,7
6,11,sham,7
6,12,sham,7
6,13,sham,7
6,14,sham,7
6,15,sham,7
6,16,sham,7
6,17,sham,7
6,18,sham,7
6,19,sham,7
6,20,sham,7
6,1,tms,4
6,2,tms,7
6,3,tms,7
6,4,tms,7
6,5,tms,7
6,6,tms,7
6,7,tms,7
6,8,tms,7
6,9,tms,7
6,10,tms,7
6,11,tms,7
6,12,tms,7
6,13,tms,7
6,14,tms,7
6,15,tms,7
6,16,tms,7
6,17,tms,7
6,18,tms,6
6,19,tms,7
6,20,tms,5
6,1,ems,5
6,2,ems,4
6,3,ems,4
6,4,ems,6
6,5,ems,4
6,6,ems,4
6,7,ems,5
6,8,ems,4
6,9,ems,1
6,10,ems,5
6,11,ems,4
6,12,ems,4
6,13,ems,2
6,14,ems,4
6,15,ems,1
6,16,ems,3
6,17,ems,4
6,18,ems,6
6,19,ems,5
6,20,ems,4
7,1,sham,7
7,2,sham,7
7,3,sham,7
7,4,sham,7
7,5,sham,7
7,6,sham,7
7,7,sham,7
7,8,sham,6
7,9,sham,7
7,10,sham,7
7,11,sham,7
7,12,sham,7
7,13,sham,6
7,14,sham,4
7,15,sham,7
7,16,sham,5
7,17,sham,7
7,18,sham,7
7,19,sham,7
7,20,sham,7
7,1,tms,6
7,2,tms,7
7,3,tms,7
7,4,tms,6
7,5,tms,7
7,6,tms,7
7,7,tms,7
7,8,tms,6
7,9,tms,7
7,10,tms,7
7,11,tms,7
7,12,tms,7
7,13,tms,7
7,14,tms,6
7,15,tms,5
7,16,tms,7
7,17,tms,7
7,18,tms,4
7,19,tms,5
7,20,tms,7
7,1,ems,3
7,2,ems,3
7,3,ems,7
7,4,ems,1
7,5,ems,2
7,6,ems,1
7,7,ems,4
7,8,ems,2
7,9,ems,3
7,10,ems,1
7,11,ems,5
7,12,ems,2
7,13,ems,4
7,14,ems,6
7,15,ems,4
7,16,ems,3
7,17,ems,5
7,18,ems,2
7,19,ems,1
7,20,ems,1
8,1,sham,5
8,2,sham,7
8,3,sham,7
8,4,sham,7
8,5,sham,7
8,6,sham,7
8,7,sham,6
8,8,sham,6
8,9,sham,7
8,10,sham,6
8,11,sham,7
8,12,sham,7
8,13,sham,6
8,14,sham,7
8,15,sham,6
8,16,sham,6
8,17,sham,6
8,18,sham,7
8,19,sham,7
8,20,sham,7
8,1,tms,5
8,2,tms,6
8,3,tms,5
8,4,tms,7
8,5,tms,6
8,6,tms,7
8,7,tms,7
8,8,tms,6
8,9,tms,7
8,10,tms,5
8,11,tms,6
8,12,tms,6
8,13,tms,7
8,14,tms,7
8,15,tms,6
8,16,tms,7
8,17,tms,7
8,18,tms,6
8,19,tms,7
8,20,tms,7
8,1,ems,5
8,2,ems,2
8,3,ems,4
8,4,ems,2
8,5,ems,1
8,6,ems,4
8,7,ems,3
8,8,ems,3
8,9,ems,2
8,10,ems,2
8,11,ems,1
8,12,ems,3
8,13,ems,1
8,14,ems,1
8,15,ems,6
8,16,ems,4
8,17,ems,1
8,18,ems,4
8,19,ems,5
8,20,ems,7
9,1,sham,7
9,2,sham,7
9,3,sham,7
9,4,sham,7
9,5,sham,7
9,6,sham,6
9,7,sham,7
9,8,sham,7
9,9,sham,7
9,10,sham,7
9,11,sham,7
9,12,sham,7
9,13,sham,7
9,14,sham,7
9,15,sham,7
9,16,sham,7
9,17,sham,7
9,18,sham,7
9,19,sham,7
9,20,sham,7
9,1,tms,7
9,2,tms,7
9,3,tms,7
9,4,tms,7
9,5,tms,7
9,6,tms,7
9,7,tms,7
9,8,tms,7
9,9,tms,7
9,10,tms,7
9,11,tms,7
9,12,tms,7
9,13,tms,7
9,14,tms,7
9,15,tms,7
9,16,tms,7
9,17,tms,7
9,18,tms,7
9,19,tms,7
9,20,tms,7
9,1,ems,3
9,2,ems,6
9,3,ems,5
9,4,ems,5
9,5,ems,2
9,6,ems,5
9,7,ems,6
9,8,ems,5
9,9,ems,5
9,10,ems,4
9,11,ems,6
9,12,ems,5
9,13,ems,6
9,14,ems,6
9,15,ems,6
9,16,ems,4
9,17,ems,2
9,18,ems,3
9,19,ems,3
9,20,ems,4
10,1,sham,7
10,2,sham,7
10,3,sham,7
10,4,sham,6
10,5,sham,7
10,6,sham,7
10,7,sham,7
10,8,sham,6
10,9,sham,7
10,10,sham,7
10,11,sham,7
10,12,sham,7
10,13,sham,7
10,14,sham,7
10,15,sham,7
10,16,sham,7
10,17,sham,7
10,18,sham,7
10,19,sham,7
10,20,sham,7
10,1,tms,5
10,2,tms,7
10,3,tms,5
10,4,tms,7
10,5,tms,7
10,6,tms,7
10,7,tms,7
10,8,tms,7
10,9,tms,7
10,10,tms,7
10,11,tms,7
10,12,tms,7
10,13,tms,7
10,14,tms,7
10,15,tms,7
10,16,tms,7
10,17,tms,7
10,18,tms,7
10,19,tms,7
10,20,tms,7
10,1,ems,1
10,2,ems,3
10,3,ems,2
10,4,ems,4
10,5,ems,2
10,6,ems,3
10,7,ems,4
10,8,ems,3
10,9,ems,1
10,10,ems,1
10,11,ems,2
10,12,ems,4
10,13,ems,2
10,14,ems,1
10,15,ems,1
10,16,ems,1
10,17,ems,1
10,18,ems,1
10,19,ems,1
10,20,ems,3
11,1,sham,5
11,2,sham,4
11,3,sham,4
11,4,sham,5
11,5,sham,4
11,6,sham,3
11,7,sham,4
11,8,sham,4
11,9,sham,5
11,10,sham,4
11,11,sham,3
11,12,sham,4
11,13,sham,4
11,14,sham,4
11,15,sham,4
