Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
tms-sub,1,717.25,35,0,6,111
tms-sub,2,184.25,35,0,6,111
tms-sub,3,184.25,35,0,6,111
tms-sub,4,167.5,35,0,6,111
tms-sub,5,184.25,35,0,5,111
tms-sub,6,200.75,35,0,6,111
tms-sub,7,184,35,0,7,111
tms-sub,8,200.75,35,0,6,111
tms-sub,9,184,35,0,6,111
tms-sub,10,150.75,35,0,6,111
tms-sub,11,150.75,35,0,6,111
tms-sub,12,217.25,35,0,6,111
tms-sub,13,184,35,0,6,111
tms-sub,14,167.5,35,0,6,111
tms-sub,15,184.25,35,0,5,111
tms-sub,16,217.5,35,0,6,111
tms-sub,17,150.75,35,0,6,111
tms-sub,18,167.5,35,0,5,111
tms-sub,19,167.25,35,0,6,111
tms-sub,20,167.5,35,0,5,111
tms-sham,1,184,35,0,6,111
tms-sham,2,167.5,35,0,5,111
tms-sham,3,200.75,35,0,6,111
tms-sham,4,169.25,35,0,5,111
tms-sham,5,234.25,35,0,6,111
tms-sham,6,201,35,0,6,111
tms-sham,7,184.25,35,0,6,111
tms-sham,8,217.5,35,0,6,111
tms-sham,9,169.25,35,0,6,111
tms-sham,10,184.25,35,0,6,111
tms-sham,11,167.5,35,0,6,111
tms-sham,12,167.25,35,0,6,111
tms-sham,13,167.5,35,0,5,111
tms-sham,14,186,35,0,5,111
tms-sham,15,184,35,0,5,111
tms-sham,16,184.25,35,0,6,111
tms-sham,17,200.75,35,0,6,111
tms-sham,18,167.5,35,0,6,111
tms-sham,19,200.75,35,0,6,111
tms-sham,20,169.25,35,0,6,111
ems-flex,1,167.5,0,8,3,111
ems-flex,2,184,0,8,2,111
ems-flex,3,184,0,8,3,111
ems-flex,4,167.5,0,8,3,111
ems-flex,5,167.75,0,8,2,111
ems-flex,6,184,0,8,2,111
ems-flex,7,167.25,0,8,2,111
ems-flex,8,167.5,0,8,3,111
ems-flex,9,167.25,0,8,3,111
ems-flex,10,184.25,0,8,2,111
ems-flex,11,167.25,0,8,3,111
ems-flex,12,167.5,0,8,2,111
ems-flex,13,167.5,0,8,2,111
ems-flex,14,167.5,0,8,4,111
ems-flex,15,152.75,0,8,2,111
ems-flex,16,167.5,0,8,3,111
ems-flex,17,167.25,0,8,2,111
ems-flex,18,184.25,0,8,3,111
ems-flex,19,167.5,0,8,3,111
ems-flex,20,200.75,0,8,2,111
